wavelength	n	k
0.12399000000000002	0.9999946	8.241e-08
0.13051	0.999994	1.272e-07
0.13776000000000002	0.999993	1.2488e-07
0.15498	0.999991	1.9173e-07
0.17712	0.999989	3.1463e-07
0.20664	0.999984	5.5102e-07
0.24797000000000002	0.99998	1.0726e-06
0.30996	0.99997	2.4843e-06
0.35424	0.99995	4.0484e-06
0.41328	0.99994	7.1408e-06
0.49594000000000005	0.99991	1.3642e-05
0.61993	0.99987	3.2079e-05
0.65255	0.99986	3.8497e-05
0.68881	0.99985	4.7138e-05
0.72932	0.99984	5.7974e-05
0.74021	0.99984	6.1633e-05
0.7773399999999999	0.99986	7.4862e-05
0.7847200000000001	0.99987	7.848e-05
0.79274	0.9999	8.5418e-05
0.79376	0.99992	7.1847e-05
0.79478	0.99993	4.9998e-05
0.79529	0.99992	4.1131e-05
0.7958000000000001	0.99992	3.2911e-05
0.7978500000000001	0.99991	2.3687e-05
0.7988700000000001	0.99991	1.1026e-05
0.7998999999999999	0.99989	6.0484e-06
0.8051	0.99987	6.1901e-06
0.81569	0.99985	6.4818e-06
0.82657	0.99983	6.8049e-06
0.85507	0.99981	7.8422e-06
0.88561	0.99979	8.94e-06
0.95373	0.99974	1.1636e-05
1.0332	0.99968	1.5628e-05
1.1271	0.99961	2.1586e-05
1.2399	0.99953	3.1115e-05
1.3776000000000002	0.9994	4.6771e-05
1.5498	0.99924	7.2992e-05
1.7711999999999999	0.99898	0.00011811
2.0664	0.9986	0.00022001
2.4797000000000002	0.99797	0.00043503
3.0996	0.99694	0.00096887
4.1328	0.9948	0.0023492
4.9594000000000005	0.99313	0.0041863
6.1993	0.99111	0.0075099
6.5255	0.99054	0.0084716
6.8881000000000006	0.99007	0.0096517
7.2932	0.98909	0.010987
7.7491	0.98912	0.013728
8.2657	0.98966	0.014773
8.550699999999999	0.98934	0.015437
8.8561	0.98883	0.016304
9.1841	0.98793	0.017765
9.5373	0.98761	0.020606
9.918800000000001	0.98941	0.023421
10.331999999999999	0.99139	0.024063
10.781	0.99233	0.024928
11.270999999999999	0.99415	0.025452
11.808000000000002	0.99285	0.024415
12.399000000000001	0.99123	0.02992
12.652	0.99265	0.033061
12.915	0.99652	0.035883
13.19	1.0012	0.035311
13.476999999999999	1.0041	0.033392
13.776	1.0058	0.030918
14.089	1.006	0.028956
14.417	1.0065	0.028232
14.76	1.0074	0.026826
15.12	1.0077	0.02546
15.498	1.0075	0.024476
15.693999999999999	1.0075	0.024501
15.896	1.0078	0.024757
16.102	1.0095	0.02518
16.314	1.0106	0.023853
16.422	1.011	0.023955
16.531	1.0118	0.02402
16.642	1.0132	0.024343
16.755	1.0151	0.024184
16.777	1.0156	0.024228
16.8	1.0161	0.024282
16.823	1.0167	0.024375
16.846	1.0173	0.024499
16.869	1.0181	0.024831
16.892	1.0194	0.025432
16.915	1.0219	0.026018
16.938000000000002	1.0259	0.024227
16.961000000000002	1.0262	0.019564
16.983999999999998	1.0246	0.019145
17.008	1.0255	0.020012
17.031000000000002	1.0305	0.020072
17.054	1.0349	0.012476
17.078	1.0305	0.0041164
17.101000000000003	1.0249	0.0036218
17.125	1.0226	0.0034141
17.149	1.0206	0.00344
17.172	1.0192	0.0034767
17.195999999999998	1.0179	0.0034877
17.208000000000002	1.0174	0.0035108
17.22	1.0169	0.0035249
17.463	1.0108	0.0034957
17.712	1.007	0.0035425
18.233	1.0019	0.003673
18.786	0.99791	0.0038926
19.373	0.99457	0.0041092
19.997999999999998	0.99143	0.0042397
20.663999999999998	0.98827	0.0043696
22.543	0.97998	0.0050004
24.797	0.97048	0.0057469
27.552	0.95834	0.0066191
30.996	0.94189	0.0078466
35.424	0.91802	0.0093121
41.327999999999996	0.88013	0.011651
49.594	0.81512	0.015894
61.993	0.67912	0.02234
65.255	0.63242	0.02477
68.881	0.57251	0.027681
72.932	0.49131	0.032409
77.491	0.37197	0.044202
78.472	0.34031	0.04832
79.478	0.30373	0.053349
79.99000000000001	0.28271	0.056697
80.51	0.25936	0.061407
81.036	0.23344	0.068348
81.569	0.20569	0.079959
82.109	0.17943	0.094223
82.657	0.15065	0.11041
83.774	0.094517	0.16589
84.92099999999999	0.067041	0.2342
