wavelength,n,k
1.2399e-04,9.999946e-01,8.2410e-08
1.3051e-04,9.99994e-01,1.2720e-07
1.3776e-04,9.99993e-01,1.2488e-07
1.5498e-04,9.99991e-01,1.9173e-07
1.7712e-04,9.99989e-01,3.1463e-07
2.0664e-04,9.99984e-01,5.5102e-07
2.4797e-04,9.9998e-01,1.0726e-06
3.0996e-04,9.9997e-01,2.4843e-06
3.5424e-04,9.9995e-01,4.0484e-06
4.1328e-04,9.9994e-01,7.1408e-06
4.9594e-04,9.9991e-01,1.3642e-05
6.1993e-04,9.9987e-01,3.2079e-05
6.5255e-04,9.9986e-01,3.8497e-05
6.8881e-04,9.9985e-01,4.7138e-05
7.2932e-04,9.9984e-01,5.7974e-05
7.4021e-04,9.9984e-01,6.1633e-05
7.7734e-04,9.9986e-01,7.4862e-05
7.8472e-04,9.9987e-01,7.8480e-05
7.9274e-04,9.9990e-01,8.5418e-05
7.9376e-04,9.9992e-01,7.1847e-05
7.9478e-04,9.9993e-01,4.9998e-05
7.9529e-04,9.9992e-01,4.1131e-05
7.9580e-04,9.9992e-01,3.2911e-05
7.9785e-04,9.9991e-01,2.3687e-05
7.9887e-04,9.9991e-01,1.1026e-05
7.9990e-04,9.9989e-01,6.0484e-06
8.0510e-04,9.9987e-01,6.1901e-06
8.1569e-04,9.9985e-01,6.4818e-06
8.2657e-04,9.9983e-01,6.8049e-06
8.5507e-04,9.9981e-01,7.8422e-06
8.8561e-04,9.9979e-01,8.9400e-06
9.5373e-04,9.9974e-01,1.1636e-05
1.0332e-03,9.9968e-01,1.5628e-05
1.1271e-03,9.9961e-01,2.1586e-05
1.2399e-03,9.9953e-01,3.1115e-05
1.3776e-03,9.9940e-01,4.6771e-05
1.5498e-03,9.9924e-01,7.2992e-05
1.7712e-03,9.9898e-01,1.1811e-04
2.0664e-03,9.9860e-01,2.2001e-04
2.4797e-03,9.9797e-01,4.3503e-04
3.0996e-03,9.9694e-01,9.6887e-04
4.1328e-03,9.9480e-01,2.3492e-03
4.9594e-03,9.9313e-01,4.1863e-03
6.1993e-03,9.9111e-01,7.5099e-03
6.5255e-03,9.9054e-01,8.4716e-03
6.8881e-03,9.9007e-01,9.6517e-03
7.2932e-03,9.8909e-01,1.0987e-02
7.7491e-03,9.8912e-01,1.3728e-02
8.2657e-03,9.8966e-01,1.4773e-02
8.5507e-03,9.8934e-01,1.5437e-02
8.8561e-03,9.8883e-01,1.6304e-02
9.1841e-03,9.8793e-01,1.7765e-02
9.5373e-03,9.8761e-01,2.0606e-02
9.9188e-03,9.8941e-01,2.3421e-02
1.0332e-02,9.9139e-01,2.4063e-02
1.0781e-02,9.9233e-01,2.4928e-02
1.1271e-02,9.9415e-01,2.5452e-02
1.1808e-02,9.9285e-01,2.4415e-02
1.2399e-02,9.9123e-01,2.9920e-02
1.2652e-02,9.9265e-01,3.3061e-02
1.2915e-02,9.9652e-01,3.5883e-02
1.3190e-02,1.0012e+00,3.5311e-02
1.3477e-02,1.0041e+00,3.3392e-02
1.3776e-02,1.0058e+00,3.0918e-02
1.4089e-02,1.0060e+00,2.8956e-02
1.4417e-02,1.0065e+00,2.8232e-02
1.4760e-02,1.0074e+00,2.6826e-02
1.5120e-02,1.0077e+00,2.5460e-02
1.5498e-02,1.0075e+00,2.4476e-02
1.5694e-02,1.0075e+00,2.4501e-02
1.5896e-02,1.0078e+00,2.4757e-02
1.6102e-02,1.0095e+00,2.5180e-02
1.6314e-02,1.0106e+00,2.3853e-02
1.6422e-02,1.0110e+00,2.3955e-02
1.6531e-02,1.0118e+00,2.4020e-02
1.6642e-02,1.0132e+00,2.4343e-02
1.6755e-02,1.0151e+00,2.4184e-02
1.6777e-02,1.0156e+00,2.4228e-02
1.6800e-02,1.0161e+00,2.4282e-02
1.6823e-02,1.0167e+00,2.4375e-02
1.6846e-02,1.0173e+00,2.4499e-02
1.6869e-02,1.0181e+00,2.4831e-02
1.6892e-02,1.0194e+00,2.5432e-02
1.6915e-02,1.0219e+00,2.6018e-02
1.6938e-02,1.0259e+00,2.4227e-02
1.6961e-02,1.0262e+00,1.9564e-02
1.6984e-02,1.0246e+00,1.9145e-02
1.7008e-02,1.0255e+00,2.0012e-02
1.7031e-02,1.0305e+00,2.0072e-02
1.7054e-02,1.0349e+00,1.2476e-02
1.7078e-02,1.0305e+00,4.1164e-03
1.7101e-02,1.0249e+00,3.6218e-03
1.7125e-02,1.0226e+00,3.4141e-03
1.7149e-02,1.0206e+00,3.4400e-03
1.7172e-02,1.0192e+00,3.4767e-03
1.7196e-02,1.0179e+00,3.4877e-03
1.7208e-02,1.0174e+00,3.5108e-03
1.7220e-02,1.0169e+00,3.5249e-03
1.7463e-02,1.0108e+00,3.4957e-03
1.7712e-02,1.0070e+00,3.5425e-03
1.8233e-02,1.0019e+00,3.6730e-03
1.8786e-02,9.9791e-01,3.8926e-03
1.9373e-02,9.9457e-01,4.1092e-03
1.9998e-02,9.9143e-01,4.2397e-03
2.0664e-02,9.8827e-01,4.3696e-03
2.2543e-02,9.7998e-01,5.0004e-03
2.4797e-02,9.7048e-01,5.7469e-03
2.7552e-02,9.5834e-01,6.6191e-03
3.0996e-02,9.4189e-01,7.8466e-03
3.5424e-02,9.1802e-01,9.3121e-03
4.1328e-02,8.8013e-01,1.1651e-02
4.9594e-02,8.1512e-01,1.5894e-02
6.1993e-02,6.7912e-01,2.2340e-02
6.5255e-02,6.3242e-01,2.4770e-02
6.8881e-02,5.7251e-01,2.7681e-02
7.2932e-02,4.9131e-01,3.2409e-02
7.7491e-02,3.7197e-01,4.4202e-02
7.8472e-02,3.4031e-01,4.8320e-02
7.9478e-02,3.0373e-01,5.3349e-02
7.9990e-02,2.8271e-01,5.6697e-02
8.0510e-02,2.5936e-01,6.1407e-02
8.1036e-02,2.3344e-01,6.8348e-02
8.1569e-02,2.0569e-01,7.9959e-02
8.2109e-02,1.7943e-01,9.4223e-02
8.2657e-02,1.5065e-01,1.1041e-01
8.3774e-02,9.4517e-02,1.6589e-01
8.4921e-02,6.7041e-02,2.3420e-01
